,x,y,z
3297,492031.003,3968585.719,1299.122
3298,492131.553,3968542.711,1299.864
3298,492033.791,3968584.858,1299.202
3299,492129.161,3968543.473,1299.803
3299,492036.708,3968583.994,1299.261
3300,492127.011,3968544.193,1299.687
3300,492039.537,3968582.985,1299.255
3301,492124.681,3968545.389,1299.579
3301,492042.181,3968582.314,1299.336
3302,492122.613,3968546.486,1299.504
3302,492044.858,3968581.181,1299.437
3303,492120.131,3968547.917,1299.472
3303,492047.64,3968580.169,1299.388
3304,492118.188,3968548.93,1299.451
3304,492050.546,3968579.093,1299.44
3305,492116.073,3968549.809,1299.415
3305,492053.331,3968578.128,1299.482
3306,492055.995,3968577.339,1299.505
3306,492113.984,3968550.697,1299.346
3307,492058.657,3968576.525,1299.566
3307,492111.794,3968551.625,1299.325
3308,492061.152,3968575.86,1299.623
3308,492109.639,3968552.406,1299.258
3309,492063.275,3968575.392,1299.638
3309,492107.44,3968553.608,1299.317
3310,492065.568,3968574.824,1299.643
3310,492105.404,3968554.896,1299.413
3311,492103.299,3968556.003,1299.433
3311,492068.058,3968574.215,1299.674
3312,492070.543,3968573.383,1299.694
3312,492101.184,3968556.969,1299.473
3313,492086.163,3968565.045,1299.618
3314,492086.309,3968565.215,1299.612
3315,492086.677,3968565.503,1299.638
3316,492087.11,3968565.752,1299.661
3317,492087.509,3968565.886,1299.658
3318,492087.828,3968565.98,1299.681
3319,492088.313,3968566.187,1299.692
3320,492088.244,3968566.462,1299.72
3321,492088.598,3968566.545,1299.75
3322,492088.899,3968566.671,1299.758
3323,492089.175,3968566.604,1299.791
3324,492104.666,3968565.058,1300.082
3324,492074,3968568.531,1299.466
3325,492107.179,3968564.321,1300.088
3325,492071.68,3968569.116,1299.481
3326,492109.742,3968563.307,1300.108
3326,492069.306,3968570.005,1299.52
3327,492112.349,3968562.46,1300.091
3327,492067.094,3968570.803,1299.48
3328,492115.052,3968561.782,1300.112
3328,492064.587,3968571.69,1299.436
3329,492062.279,3968572.4,1299.459
3329,492117.615,3968561.138,1300.134
3330,492059.939,3968573.302,1299.397
3330,492120.342,3968560.415,1300.155
3331,492057,3968574.27,1299.332
3331,492122.888,3968559.93,1300.203
3332,492053.412,3968575.805,1299.26
3332,492125.324,3968559.301,1300.233
3333,492051.058,3968577.024,1299.266
3333,492127.696,3968558.954,1300.364
3334,492048.804,3968578.143,1299.294
3334,492130.349,3968558.492,1300.432
3335,492132.883,3968558.209,1300.557
3335,492046.505,3968579.397,1299.261
3336,492135.878,3968557.61,1300.749
3336,492044.384,3968580.56,1299.321
3337,492042.112,3968581.561,1299.221
3337,492138.639,3968557.068,1300.927
3338,492141.209,3968556.501,1300.996
3338,492039.848,3968582.585,1299.165
3339,492037.532,3968583.598,1299.139
3339,492143.797,3968556.044,1301.077
3340,492146.308,3968555.574,1301.168
3340,492035.089,3968584.646,1299.104
3341,492148.931,3968555.102,1301.237
3341,492032.819,3968585.671,1299.101
3342,492151.617,3968554.518,1301.293
3342,492030.61,3968586.537,1299.114
3343,492028.395,3968587.388,1299.045
3343,492154.332,3968554.038,1301.366
3344,492025.6,3968588.635,1299.074
3344,492158.2,3968553.528,1301.448
3345,492022.6,3968590.099,1299.169
3345,492160.882,3968552.941,1301.445
3346,492020.401,3968591.323,1299.165
3346,492163.299,3968552.522,1301.522
3347,492018.437,3968592.548,1299.203
3347,492165.961,3968552.038,1301.592
3348,492016.277,3968593.598,1299.188
3348,492168.316,3968551.688,1301.506
3349,492014.221,3968594.842,1299.203
3349,492170.807,3968551.32,1301.567
3350,492012.067,3968596.03,1299.188
3350,492173.671,3968551.059,1301.651
3351,492175.98,3968550.913,1301.692
3351,492010.076,3968597.293,1299.175
3352,492178.184,3968550.566,1301.755
3352,492008.307,3968598.578,1299.22
3353,492180.382,3968550.37,1301.69
3353,492006.522,3968599.779,1299.246
3354,492003.901,3968600.862,1299.263
3354,492178.276,3968549.113,1301.721
3355,492178.548,3968546.984,1301.644
3355,492001.978,3968599.049,1299.179
3356,492175.286,3968546.895,1301.512
3356,492000.737,3968597.274,1299.115
3357,492172.688,3968547.376,1301.55
3357,492000.655,3968594.444,1298.953
3358,492170.067,3968547.895,1301.458
3358,492002.054,3968592.972,1298.909
3359,492003.798,3968591.729,1298.826
3359,492167.284,3968548.449,1301.349
3360,492164.414,3968549.036,1301.327
3360,492005.73,3968590.555,1298.812
3361,492007.724,3968589.35,1298.81
3361,492161.495,3968549.715,1301.259
3362,492009.644,3968588.297,1298.781
3362,492159.031,3968550.471,1301.171
3363,492011.687,3968587.413,1298.772
3363,492156.48,3968551.013,1301.178
3364,492013.734,3968586.592,1298.747
3364,492154.152,3968551.595,1301.13
3365,492151.653,3968552.006,1301.156
3365,492015.722,3968585.6,1298.757
3366,492149.25,3968552.368,1301.099
3366,492017.898,3968584.464,1298.707
3367,492146.593,3968552.812,1300.976
3367,492019.982,3968583.397,1298.719
3368,492021.983,3968582.447,1298.694
3368,492143.914,3968553.36,1300.908
3369,492024.03,3968581.382,1298.741
3369,492141.083,3968553.956,1300.792
3370,492026.098,3968580.304,1298.745
3370,492138.363,3968554.636,1300.606
3371,492028.468,3968578.937,1298.814
3371,492135.791,3968555.614,1300.484
3372,492030.763,3968577.715,1298.858
3372,492132.543,3968556.826,1300.359
3373,492130.002,3968557.598,1300.203
3373,492032.981,3968576.519,1298.872
3374,492035.314,3968575.531,1298.907
3374,492127.46,3968558.212,1300.176
3375,492124.771,3968559.011,1299.999
3375,492037.467,3968574.749,1298.953
3376,492039.683,3968573.978,1298.964
3376,492122.157,3968559.668,1300.002
3377,492042.38,3968573.122,1299.077
3377,492119.667,3968560.454,1299.921
3378,492117.151,3968561.209,1299.958
3378,492044.967,3968572.338,1299.1
3379,492047.612,3968571.563,1299.114
3379,492114.617,3968561.705,1299.954
3380,492050.16,3968570.902,1299.155
3380,492112.164,3968562.284,1299.867
3381,492053.129,3968569.852,1299.18
3381,492109.621,3968562.661,1299.917
3382,492106.935,3968563.322,1299.833
3382,492056.022,3968568.805,1299.155
3383,492104.538,3968564.155,1299.915
3383,492058.217,3968568.056,1299.187
3384,492102.152,3968564.829,1299.876
3384,492060.17,3968567.595,1299.335
3385,492100.15,3968565.334,1299.88
3385,492062.383,3968567.119,1299.372
3386,492064.396,3968566.592,1299.351
3386,492097.911,3968566.147,1299.891
3387,492081.155,3968566.432,1299.59
3388,492081.084,3968566.37,1299.543
3389,492080.943,3968566.381,1299.528
3390,492080.851,3968566.462,1299.551
3391,492080.69,3968566.405,1299.465
3392,492080.643,3968566.444,1299.477
3393,492080.693,3968566.583,1299.435
3394,492080.767,3968566.723,1299.484
3395,492080.583,3968566.701,1299.497
3396,492080.786,3968566.619,1299.511
3397,492080.568,3968566.81,1299.511
